UniprotKB,Gene,FBgn,FBtr,FBpp
Q9W5Y0,Nep3-PA,FBgn0031081,FBtr0070000,FBpp0070000
Q9W5Y0,Nep3-PB,FBgn0031081,FBtr0307554,FBpp0300206
Q9W5Y0,Nep3-PC,FBgn0031081,FBtr0307555,FBpp0300207
Q9W5X6,CG9570-PA,FBgn0031085,FBtr0070002,FBpp0070001
Q8IRZ5,Or19b-PA,FBgn0062565,FBtr0070003,FBpp0070002
Q9W5X2,CG15322-PB,FBgn0031088,FBtr0301569,FBpp0290784
Q9W5X2,CG15322-PC,FBgn0031088,FBtr0343166,FBpp0309860
Q9I816,Or19a-PB,FBgn0041626,FBtr0070029,FBpp0070028
E2QDA1,karr-PA,FBgn0040784,FBtr0301572,FBpp0290787
Q9W5X5,fd19B-PA,FBgn0031086,FBtr0070032,FBpp0070031
Q9W5X9,CG17003-PA,FBgn0031082,FBtr0070035,FBpp0070034
Q9W5Y1,CG12655-PA,FBgn0031080,FBtr0070036,FBpp0070035
Q8MS38,CG33217-PA,FBgn0053217,FBtr0070045,FBpp0070044
Q8SX81,Vps11-PA,FBgn0052350,FBtr0070046,FBpp0070045
O61231,RpL10-PC,FBgn0024733,FBtr0299869,FBpp0289147
O61231,RpL10-PD,FBgn0024733,FBtr0299870,FBpp0289148
O61231,RpL10-PE,FBgn0024733,FBtr0333910,FBpp0306039
Q95RU8,G9a-PA,FBgn0040372,FBtr0070063,FBpp0070062
M9PGH7,G9a-PB,FBgn0040372,FBtr0332992,FBpp0305207
P39205,cin-PB,FBgn0000316,FBtr0070064,FBpp0070063
P39205,cin-PA,FBgn0000316,FBtr0070065,FBpp0070064
O76874,CG3777-PB,FBgn0024989,FBtr0070066,FBpp0070065
O76874,CG3777-PA,FBgn0024989,FBtr0070067,FBpp0070066
O76874,CG3777-PC,FBgn0024989,FBtr0070068,FBpp0070067
O76874,CG3777-PD,FBgn0024989,FBtr0342962,FBpp0309733
O76874,CG3777-PE,FBgn0024989,FBtr0344149,FBpp0310562
Q9V3G9,CG12470-PA,FBgn0040371,FBtr0070069,FBpp0070068
Q9W5G6,Or1a-PA,FBgn0029521,FBtr0070070,FBpp0070069
P09957,y-PA,FBgn0004034,FBtr0070071,FBpp0070070
P10083,ac-PA,FBgn0000022,FBtr0070072,FBpp0070071
P10084,sc-PA,FBgn0004170,FBtr0070073,FBpp0070072
P09774,l(1)sc-PA,FBgn0002561,FBtr0070074,FBpp0070073
P09775,ase-PA,FBgn0000137,FBtr0070075,FBpp0070074
Q9W5G0,CG13373-PA,FBgn0029522,FBtr0070076,FBpp0070075
A8JUS8,CG13373-PB,FBgn0029522,FBtr0112947,FBpp0111860
Q8IRY8,CG32817-PA,FBgn0052817,FBtr0070077,FBpp0070076
Q8IRY8,CG32817-PC,FBgn0052817,FBtr0336919,FBpp0307856
Q8IRY8,CG32817-PB,FBgn0052817,FBtr0300328,FBpp0289557
Q9I7Z9,CG3176-PA,FBgn0029524,FBtr0070078,FBpp0070077
M9PDE1,CG3176-PB,FBgn0029524,FBtr0336920,FBpp0307857
M9PDE1,CG3176-PC,FBgn0029524,FBtr0336921,FBpp0307858
Q9I7Z9,CG3176-PD,FBgn0029524,FBtr0343501,FBpp0310106
Q8SWW9,CG3156-PA,FBgn0023536,FBtr0070079,FBpp0070078
Q8MYW2,CG17778-PA,FBgn0023534,FBtr0070080,FBpp0070079
Q8MYW2,CG17778-PB,FBgn0023534,FBtr0340145,FBpp0309131
O76895,arg-PA,FBgn0023535,FBtr0070088,FBpp0070083
Q7KW39,CG17896-PB,FBgn0023537,FBtr0070092,FBpp0070087
FBpp0070088,CG17896-PA,FBgn0023537,FBtr0070093,FBpp0070088
Q9I7Z8,CG18273-PA,FBgn0029525,FBtr0070094,FBpp0070089
Q9V3S0,Cyp4g1-PA,FBgn0010019,FBtr0070099,FBpp0070094
Q9W5G3,Pgcl-PA,FBgn0011822,FBtr0070100,FBpp0070095
Q8IRY9,CG32816-PB,FBgn0052816,FBtr0070101,FBpp0070096
Q8IRY9,CG32816-PA,FBgn0052816,FBtr0070102,FBpp0070097
B7Z110,CG32816-PC,FBgn0052816,FBtr0273442,FBpp0271950
B7Z110,CG32816-PD,FBgn0052816,FBtr0273443,FBpp0271951
Q8IRY9,CG32816-PE,FBgn0052816,FBtr0344150,FBpp0310563
Q8IRY9,CG32816-PF,FBgn0052816,FBtr0344151,FBpp0310564
Q9W5G7,CG13375-PA,FBgn0040370,FBtr0070103,FBpp0070098
Q9W5G7,CG13375-PB,FBgn0040370,FBtr0300326,FBpp0289555
X2JC14,CG13375-PC,FBgn0040370,FBtr0342963,FBpp0309734
Q8IRZ0,CG3038-PB,FBgn0040373,FBtr0070107,FBpp0070102
Q95RP8,CG3038-PA,FBgn0040373,FBtr0070108,FBpp0070103
X2JD78,CG3038-PC,FBgn0040373,FBtr0340207,FBpp0309182
P14599,Appl-PA,FBgn0000108,FBtr0070109,FBpp0070104
M9NE22,Appl-PB,FBgn0000108,FBtr0307291,FBpp0298292
M9NEM2,Appl-PC,FBgn0000108,FBtr0307292,FBpp0298293
M9NGF6,Appl-PD,FBgn0000108,FBtr0307293,FBpp0298294
M9NDH5,Appl-PE,FBgn0000108,FBtr0307294,FBpp0298295
M9NFQ0,Appl-PF,FBgn0000108,FBtr0307295,FBpp0298296
O77425,CG13369-PA,FBgn0025640,FBtr0070115,FBpp0070110
O77260,Hinfp-PA,FBgn0025635,FBtr0070116,FBpp0070111
Q9W5E6,Hinfp-PC,FBgn0025635,FBtr0070117,FBpp0070112
O77260,Hinfp-PB,FBgn0025635,FBtr0070118,FBpp0070113
Q9W5E4,Mybbp1A-PA,FBgn0001341,FBtr0070119,FBpp0070114
P22293,su(sable)-PA,FBgn0003575,FBtr0070120,FBpp0070115
X2JDA8,su(sable)-PB,FBgn0003575,FBtr0340081,FBpp0309080
P22293,su(sable)-PC,FBgn0003575,FBtr0340082,FBpp0309081
Q9W5E2,CG13367-PA,FBgn0025634,FBtr0070121,FBpp0070116
B7Z114,Roc1a-PC,FBgn0025638,FBtr0308651,FBpp0300874
Q9W5E1,Roc1a-PA,FBgn0025638,FBtr0070122,FBpp0070117
Q9W5E1,Roc1a-PD,FBgn0025638,FBtr0343564,FBpp0310165
Q9V3T2,CG5254-PA,FBgn0040383,FBtr0070134,FBpp0070129
X2JA11,CG5254-PB,FBgn0040383,FBtr0343759,FBpp0310321
Q9W5D6,CG5273-PA,FBgn0040382,FBtr0070135,FBpp0070130
Q9W5D6,CG5273-PC,FBgn0040382,FBtr0070136,FBpp0070131
Q9W5D6,CG5273-PB,FBgn0040382,FBtr0070137,FBpp0070132
X2JC46,fz3-PA,FBgn0027343,FBtr0070138,FBpp0070133
A8JUT5,fz3-PB,FBgn0027343,FBtr0112928,FBpp0111841
X2JC46,fz3-PC,FBgn0027343,FBtr0345511,FBpp0311620
NP_569860,CG16989-PC,FBgn0025621,FBtr0479789,FBpp0428122
NP_001284761,CG16989-PD,FBgn0025621,FBtr0479790,FBpp0428123
Q9W5C9,CG14635-PA,FBgn0029535,FBtr0070142,FBpp0070137
Q7KW26,CG13358-PD,FBgn0026874,FBtr0290198,FBpp0288637
Q9W5D2,CG13359-PA,FBgn0025616,FBtr0070145,FBpp0070140
Q24472,Rbf-PA,FBgn0015799,FBtr0070146,FBpp0070141
O77436,CG13360-PA,FBgn0025620,FBtr0070147,FBpp0070142
P50887,RpL22-PA,FBgn0015288,FBtr0070148,FBpp0070143
Q9W5D7,CG13361-PA,FBgn0029532,FBtr0070149,FBpp0070144
Q8SXG9,CG13362-PA,FBgn0029531,FBtr0070150,FBpp0070145
Q9W5E0,Hmt4-20-PA,FBgn0025639,FBtr0070151,FBpp0070146
Q9W5E0,Hmt4-20-PB,FBgn0025639,FBtr0308652,FBpp0300875
P49630,RpL36-PA,FBgn0002579,FBtr0070155,FBpp0070150
P49630,RpL36-PB,FBgn0002579,FBtr0070156,FBpp0070151
P49630,RpL36-PD,FBgn0002579,FBtr0070157,FBpp0070152
P49630,RpL36-PC,FBgn0002579,FBtr0070158,FBpp0070153
P49630,RpL36-PE,FBgn0002579,FBtr0345321,FBpp0311481
Q9XZS3,CG13364-PA,FBgn0026879,FBtr0070159,FBpp0070154
Q9W5E7,CG13365-PA,FBgn0029529,FBtr0070160,FBpp0070155
Q9W5E8,spdi-PA,FBgn0025633,FBtr0070161,FBpp0070156
Q0KHX7,spdi-PB,FBgn0025633,FBtr0110791,FBpp0110088
Q0KHX7,spdi-PC,FBgn0025633,FBtr0339430,FBpp0308517
X2JHS3,spdi-PD,FBgn0025633,FBtr0339431,FBpp0308518
Q9W5E8,spdi-PE,FBgn0025633,FBtr0339432,FBpp0308519
Q0KHX7,spdi-PF,FBgn0025633,FBtr0339433,FBpp0308520
X2J9Z8,spdi-PG,FBgn0025633,FBtr0339434,FBpp0308521
Q9W5C8,CG14634-PB,FBgn0040892,FBtr0110804,FBpp0110101
Q9V3J7,CG11664-PA,FBgn0040341,FBtr0070163,FBpp0070158
Q9W5C5,CG11663-PA,FBgn0029539,FBtr0070164,FBpp0070159
Q9W5C5,CG11663-PB,FBgn0029539,FBtr0310165,FBpp0301850
Q9V439,MED22-PA,FBgn0040339,FBtr0070165,FBpp0070160
Q8IRY5,CG32815-PC,FBgn0052815,FBtr0307181,FBpp0298010
Q8IRY5,CG32815-PD,FBgn0052815,FBtr0345512,FBpp0311621
Q9W5C2,TRAM-PB,FBgn0040340,FBtr0070167,FBpp0070162
Q9W5C2,TRAM-PA,FBgn0040340,FBtr0070168,FBpp0070163
Q9W5C2,TRAM-PC,FBgn0040340,FBtr0070169,FBpp0070164
Q9W5C2,TRAM-PD,FBgn0040340,FBtr0307182,FBpp0298011
Q9W5C2,TRAM-PE,FBgn0040340,FBtr0332589,FBpp0304840
Q9V3T1,mus81-PA,FBgn0040347,FBtr0070170,FBpp0070165
Q9I7Y5,CG18823-PA,FBgn0042146,FBtr0070171,FBpp0070166
Q9W5B8,CG14631-PA,FBgn0029552,FBtr0070172,FBpp0070167
Q9W5B6,CG3021-PA,FBgn0040337,FBtr0070173,FBpp0070168
Q9W5B4,CG14629-PA,FBgn0040398,FBtr0070179,FBpp0070172
Q9V3V1,CG14628-PA,FBgn0040365,FBtr0070180,FBpp0070173
Q9V3U1,CG3655-PA,FBgn0040397,FBtr0070181,FBpp0070174
Q9V3U1,CG3655-PB,FBgn0040397,FBtr0113327,FBpp0112239
M9PGK1,CG3655-PC,FBgn0040397,FBtr0331339,FBpp0303757
Q9V3U1,CG3655-PD,FBgn0040397,FBtr0331340,FBpp0303758
O96989,Cdc45-PA,FBgn0026143,FBtr0070182,FBpp0070175
Q8SYN0,CG11638-PA,FBgn0040351,FBtr0070183,FBpp0070176
Q9W5B9,TfIIA-S-2-PA,FBgn0040338,FBtr0070184,FBpp0070177
Q9V3J5,CG3690-PA,FBgn0040350,FBtr0070185,FBpp0070178
Q9V3J5,CG3690-PB,FBgn0040350,FBtr0342734,FBpp0309602
Q9U1L2,CG3699-PA,FBgn0040349,FBtr0070186,FBpp0070179
Q9W5C1,CG3703-PA,FBgn0040348,FBtr0070187,FBpp0070180
Q9V3R3,CG3704-PA,FBgn0040346,FBtr0070188,FBpp0070181
Q9V3E0,CG3706-PA,FBgn0040342,FBtr0070189,FBpp0070182
Q7KW25,CG3708-PB,FBgn0040345,FBtr0331301,FBpp0303733
Q9V3D7,CG3713-PA,FBgn0040343,FBtr0070195,FBpp0070188
Q9V3D7,CG3713-PB,FBgn0040343,FBtr0310459,FBpp0302607
E4NKK8,CG32814-PB,FBgn0052814,FBtr0336688,FBpp0307669
Q9V3I0,CG11378-PA,FBgn0040364,FBtr0070197,FBpp0070190
Q9V3I0,CG11378-PB,FBgn0040364,FBtr0310611,FBpp0302731
Q9V3I0,CG11378-PC,FBgn0040364,FBtr0345513,FBpp0311622
Q9V3A3,CG11379-PA,FBgn0040362,FBtr0070198,FBpp0070191
Q9V3A3,CG11379-PB,FBgn0040362,FBtr0342727,FBpp0309595
Q9W5B1,CG14627-PA,FBgn0040361,FBtr0070199,FBpp0070192
Q9W5B1,CG14627-PB,FBgn0040361,FBtr0310612,FBpp0302732
Q9W5B0,CG14626-PA,FBgn0040360,FBtr0070200,FBpp0070193
Q9W5A9,CG11380-PA,FBgn0040359,FBtr0070201,FBpp0070194
Q9W5A9,CG11380-PB,FBgn0040359,FBtr0345506,FBpp0311615
Q9U1L6,CG14625-PB,FBgn0040358,FBtr0070202,FBpp0070195
Q9W5A7,CG11381-PA,FBgn0029568,FBtr0070203,FBpp0070196
Q9W5A6,CG14624-PA,FBgn0040357,FBtr0070204,FBpp0070197
Q9V3C6,CG11382-PB,FBgn0040367,FBtr0070205,FBpp0070198
Q9V3C6,CG11382-PC,FBgn0040367,FBtr0342728,FBpp0309596
O77424,CG32812-PA,FBgn0025642,FBtr0070206,FBpp0070199
O77424,CG32812-PB,FBgn0025642,FBtr0342729,FBpp0309597
O76904,fs(1)N-PA,FBgn0004650,FBtr0070207,FBpp0070200
Q95RC0,Naa30A-PA,FBgn0024362,FBtr0070209,FBpp0070202
M9PGL2,Naa30A-PD,FBgn0024362,FBtr0310619,FBpp0302739
O46101,Tsp2A-PA,FBgn0024361,FBtr0070211,FBpp0070204
O46101,Tsp2A-PB,FBgn0024361,FBtr0303284,FBpp0292376
O46307,CG11417-PA,FBgn0024364,FBtr0070212,FBpp0070205
Q9W5A2,CG14770-PA,FBgn0029573,FBtr0070213,FBpp0070206
Q8IH14,ssx-PB,FBgn0024987,FBtr0070215,FBpp0089110
X2JA35,ssx-PC,FBgn0024987,FBtr0339772,FBpp0308819
O76876,ssx-PD,FBgn0024987,FBtr0339773,FBpp0308820
Q8IH14,ssx-PE,FBgn0024987,FBtr0339774,FBpp0308821
O18645,AMPKalpha-PA,FBgn0023169,FBtr0070216,FBpp0070208
O18645,AMPKalpha-PB,FBgn0023169,FBtr0070217,FBpp0070209
O18645,AMPKalpha-PC,FBgn0023169,FBtr0070218,FBpp0089374
Q9W5A0,CG32813-PD,FBgn0052813,FBtr0070219,FBpp0070210
Q9W5A0,CG32813-PB,FBgn0052813,FBtr0070222,FBpp0070213
Q9W5A0,CG32813-PL,FBgn0052813,FBtr0342735,FBpp0309603
Q9W5A0,CG32813-PM,FBgn0052813,FBtr0342736,FBpp0309604
Q9W5A0,CG32813-PN,FBgn0052813,FBtr0342737,FBpp0309605
Q9W599,CG32813-PH,FBgn0052813,FBtr0330317,FBpp0303349
Q9W5A0,CG32813-PI,FBgn0052813,FBtr0330318,FBpp0303350
Q9W5A0,CG32813-PJ,FBgn0052813,FBtr0330319,FBpp0303351
Q9W5A0,CG32813-PK,FBgn0052813,FBtr0330320,FBpp0303352
NP_001368967,CG32813-PO,FBgn0052813,FBtr0479843,FBpp0428179
O76878,Rilpl-PA,FBgn0024985,FBtr0070225,FBpp0070216
M9PG81,Rilpl-PB,FBgn0024985,FBtr0332291,FBpp0304570
M9PGM0,Rilpl-PC,FBgn0024985,FBtr0332292,FBpp0304571
Q9W592,Lrpprc2-PA,FBgn0027794,FBtr0070230,FBpp0070221
Q9W593,CG14785-PA,FBgn0027795,FBtr0070231,FBpp0070222
O76877,CG3719-PA,FBgn0024986,FBtr0070233,FBpp0070224
O46308,png-PA,FBgn0000826,FBtr0070234,FBpp0070225
O46100,CG12773-PA,FBgn0024365,FBtr0070235,FBpp0070226
O46100,CG12773-PC,FBgn0024365,FBtr0342738,FBpp0309606
M9PDG9,CG12773-PB,FBgn0024365,FBtr0332287,FBpp0304566
O46102,MTPAP-PA,FBgn0024360,FBtr0070236,FBpp0070227
Q7KW16,MTPAP-PB,FBgn0024360,FBtr0070237,FBpp0089095
O46102,MTPAP-PC,FBgn0024360,FBtr0332288,FBpp0304567
O46099,CG11409-PB,FBgn0024366,FBtr0070238,FBpp0070228
O46099,CG11409-PC,FBgn0024366,FBtr0342730,FBpp0309598
Q8IRY0,DAAM-PB,FBgn0025641,FBtr0070239,FBpp0070229
Q7YZA4,DAAM-PA,FBgn0025641,FBtr0070241,FBpp0070231
Q8IRY0,DAAM-PG,FBgn0025641,FBtr0342731,FBpp0309599
Q8IRY0,DAAM-PE,FBgn0025641,FBtr0310282,FBpp0301965
Q8IRY0,DAAM-PF,FBgn0025641,FBtr0310283,FBpp0301966
M9MSM5,DAAM-PD,FBgn0025641,FBtr0303264,FBpp0292356
R9PY44,CG32811-PB,FBgn0052811,FBtr0302877,FBpp0292011
Q9XZS8,Atf3-PA,FBgn0028550,FBtr0070244,FBpp0070234
M9PIP2,Atf3-PB,FBgn0028550,FBtr0330391,FBpp0303417
Q9XZS8,Atf3-PC,FBgn0028550,FBtr0345507,FBpp0311616
Q9XZS9,CG11403-PA,FBgn0026876,FBtr0070245,FBpp0070235
Q9V3X8,CG11398-PA,FBgn0040366,FBtr0070250,FBpp0070240
Q9V3X8,CG11398-PD,FBgn0040366,FBtr0345522,FBpp0311628
Q9V3E4,CG11384-PA,FBgn0040363,FBtr0070251,FBpp0070241
Q9W5B3,eIF4E7-PA,FBgn0040368,FBtr0070252,FBpp0070242
Q9W588,CG14777-PB,FBgn0026872,FBtr0070253,FBpp0070243
Q9W588,CG14777-PD,FBgn0026872,FBtr0339576,FBpp0308651
Q9W588,CG14777-PE,FBgn0026872,FBtr0339577,FBpp0308652
Q9W588,CG14777-PC,FBgn0026872,FBtr0300352,FBpp0289581
Q9W588,CG14777-PF,FBgn0026872,FBtr0345508,FBpp0311617
Q9W587,CG14778-PA,FBgn0029580,FBtr0070254,FBpp0070244
Q9W586,CG14780-PA,FBgn0025383,FBtr0070257,FBpp0070247
O76902,rush-PA,FBgn0025381,FBtr0070259,FBpp0070249
O76902,rush-PB,FBgn0025381,FBtr0339589,FBpp0308661
Q9W579,inc-PB,FBgn0025394,FBtr0070260,FBpp0070250
Q9W579,inc-PD,FBgn0025394,FBtr0339591,FBpp0308663
Q9W579,inc-PC,FBgn0025394,FBtr0339590,FBpp0308662
Q24314,dor-PA,FBgn0000482,FBtr0070269,FBpp0070259
Q9W568,hfw-PA,FBgn0001189,FBtr0070270,FBpp0070260
Q9W568,hfw-PB,FBgn0001189,FBtr0333115,FBpp0305326
Q9W567,CG14797-PB,FBgn0029587,FBtr0273400,FBpp0271908
B4F613,CG14797-PC,FBgn0029587,FBtr0308320,FBpp0300639
Q9V3N9,b6-PA,FBgn0024897,FBtr0070272,FBpp0070262
O76892,Scgdelta-PA,FBgn0025391,FBtr0070277,FBpp0070267
O76892,Scgdelta-PC,FBgn0025391,FBtr0302174,FBpp0291384
O76892,Scgdelta-PD,FBgn0025391,FBtr0302175,FBpp0291385
O76892,Scgdelta-PE,FBgn0025391,FBtr0345509,FBpp0311618
Q8MRL2,CG3795-PA,FBgn0025378,FBtr0070278,FBpp0070268
Q8MRL2,CG3795-PB,FBgn0025378,FBtr0344154,FBpp0310567
O46341,a6-PA,FBgn0023130,FBtr0070279,FBpp0070269
O46341,a6-PB,FBgn0023130,FBtr0330407,FBpp0303433
O46341,a6-PC,FBgn0023130,FBtr0333116,FBpp0305327
Q9W569,CG3740-PA,FBgn0023530,FBtr0070283,FBpp0070273
O76894,Mur2B-PA,FBgn0025390,FBtr0070284,FBpp0070274
O76894,Mur2B-PC,FBgn0025390,FBtr0343517,FBpp0310121
M9MS86,Mur2B-PB,FBgn0025390,FBtr0303587,FBpp0292620
O76888,CG14795-PB,FBgn0025393,FBtr0070285,FBpp0070275
P38979,sta-PA,FBgn0003517,FBtr0070289,FBpp0070277
P38979,sta-PB,FBgn0003517,FBtr0070290,FBpp0070278
P38979,sta-PE,FBgn0003517,FBtr0339593,FBpp0308665
P38979,sta-PF,FBgn0003517,FBtr0339594,FBpp0308666
O76901,Rab27-PB,FBgn0025382,FBtr0070293,FBpp0070280
Q9W585,Rab27-PC,FBgn0025382,FBtr0070294,FBpp0070281
Q8IRX5,CG32808-PA,FBgn0052808,FBtr0070295,FBpp0070282
Q9W589,O-fut2-PA,FBgn0027791,FBtr0070296,FBpp0070283
Q9W591,CG14787-PA,FBgn0027793,FBtr0070298,FBpp0070285
Q8IRX1,CG32806-PA,FBgn0052806,FBtr0070301,FBpp0070288
Q9XZT1,MED18-PA,FBgn0026873,FBtr0070308,FBpp0070295
B7Z116,MED18-PC,FBgn0026873,FBtr0114454,FBpp0112946
O46089,CG14803-PA,FBgn0023513,FBtr0070310,FBpp0070297
X2JA69,CG14803-PB,FBgn0023513,FBtr0339600,FBpp0308672
Q9W552,Vps26-PA,FBgn0014411,FBtr0070311,FBpp0070298
Q9W550,CG14805-PA,FBgn0023514,FBtr0070312,FBpp0070299
Q9W549,Coa8-PA,FBgn0029594,FBtr0070313,FBpp0070300
Q9W549,Coa8-PB,FBgn0029594,FBtr0331384,FBpp0303802
Q9W547,mRpL16-PA,FBgn0023519,FBtr0070314,FBpp0070301
Q9W547,mRpL16-PB,FBgn0023519,FBtr0332579,FBpp0304831
Q9W542,mip130-PA,FBgn0023509,FBtr0070315,FBpp0070302
Q9W543,Rbcn-3B-PA,FBgn0023510,FBtr0070316,FBpp0070303
Q9W543,Rbcn-3B-PB,FBgn0023510,FBtr0344155,FBpp0310568
O46094,Ocrl-PA,FBgn0023508,FBtr0070317,FBpp0070304
O46094,Ocrl-PB,FBgn0023508,FBtr0332586,FBpp0304837
M9PGG7,CG11596-PB,FBgn0023522,FBtr0070320,FBpp0070307
E4NKI7,CG11596-PC,FBgn0023522,FBtr0070318,FBpp0070305
Q9I7X6,CG11596-PA,FBgn0023522,FBtr0070319,FBpp0070306
M9PGG7,CG11596-PD,FBgn0023522,FBtr0332587,FBpp0304838
M9PGG7,CG11596-PE,FBgn0023522,FBtr0332588,FBpp0304839
O46079,CG3587-PA,FBgn0023521,FBtr0070321,FBpp0070308
Q9W528,CG4194-PA,FBgn0025627,FBtr0070328,FBpp0070314
O77264,Rtca-PA,FBgn0025630,FBtr0070330,FBpp0070316
O77264,Rtca-PB,FBgn0025630,FBtr0344156,FBpp0310569
O77263,CG4045-PA,FBgn0025629,FBtr0070331,FBpp0070317
Q960D4,CG4199-PC,FBgn0025628,FBtr0070334,FBpp0070320
Q960D4,CG4199-PD,FBgn0025628,FBtr0070335,FBpp0070321
Q960D4,CG4199-PB,FBgn0025628,FBtr0070336,FBpp0070322
O77266,CG4199-PA,FBgn0025628,FBtr0070337,FBpp0070323
Q960D4,CG4199-PG,FBgn0025628,FBtr0300254,FBpp0289482
Q960D4,CG4199-PH,FBgn0025628,FBtr0300255,FBpp0289483
Q960D4,CG4199-PI,FBgn0025628,FBtr0302435,FBpp0291627
Q9W530,CG14054-PA,FBgn0029596,FBtr0070338,FBpp0070324
Q9W531,CG4281-PA,FBgn0025626,FBtr0070339,FBpp0070325
Q9W532,Sik2-PA,FBgn0025625,FBtr0070340,FBpp0070326
Q9W534,moody-PA,FBgn0025631,FBtr0070341,FBpp0070327
Q9W534,moody-PB,FBgn0025631,FBtr0303043,FBpp0292162
M9MS14,moody-PC,FBgn0025631,FBtr0303044,FBpp0292163
M9MS14,moody-PD,FBgn0025631,FBtr0303045,FBpp0292164
Q9W534,moody-PE,FBgn0025631,FBtr0310288,FBpp0301971
Q9W534,moody-PF,FBgn0025631,FBtr0310289,FBpp0301972
Q9XZS4,CG4325-PA,FBgn0026878,FBtr0070342,FBpp0070328
Q9XZS4,CG4325-PB,FBgn0026878,FBtr0310443,FBpp0302591
M9PGA7,Actn-PC,FBgn0000667,FBtr0070345,FBpp0070331
M9MS06,Actn-PB,FBgn0000667,FBtr0070343,FBpp0070329
FBpp0070330,Actn-PA,FBgn0000667,FBtr0070344,FBpp0070330
M9MS06,Actn-PD,FBgn0000667,FBtr0303048,FBpp0292167
F0JAG6,Actn-PF,FBgn0000667,FBtr0310657,FBpp0302777
M9PGA7,Actn-PG,FBgn0000667,FBtr0310658,FBpp0302778
M9PGA7,Actn-PH,FBgn0000667,FBtr0310659,FBpp0302779
M9MS06,Actn-PI,FBgn0000667,FBtr0333801,FBpp0305935
M9PGA7,Actn-PJ,FBgn0000667,FBtr0333802,FBpp0305936
P20153,usp-PA,FBgn0003964,FBtr0070346,FBpp0070332
P20153,usp-PB,FBgn0003964,FBtr0333803,FBpp0305937
Q8T4E1,PIG-K-PA,FBgn0023545,FBtr0070347,FBpp0070333
O46080,CG3857-PA,FBgn0023520,FBtr0070349,FBpp0070335
Q9W541,eIF2Bepsilon-PA,FBgn0023512,FBtr0070350,FBpp0070336
Q9W541,eIF2Bepsilon-PB,FBgn0023512,FBtr0070351,FBpp0089217
Q7JUF8,Edem1-PC,FBgn0023511,FBtr0070352,FBpp0070337
Q7JUF8,Edem1-PB,FBgn0023511,FBtr0070353,FBpp0070338
Q7JUF8,Edem1-PA,FBgn0023511,FBtr0070354,FBpp0070339
M9PG98,Edem1-PE,FBgn0023511,FBtr0332580,FBpp0304832
Q7JUF8,Edem1-PD,FBgn0023511,FBtr0305583,FBpp0294034
Q9W545,CG32801-PA,FBgn0052801,FBtr0070355,FBpp0070340
FBpp0070346,trr-PC,FBgn0023518,FBtr0070362,FBpp0070346
Q8IRW8,trr-PD,FBgn0023518,FBtr0070363,FBpp0070347
O97420,CG14818-PA,FBgn0026088,FBtr0070364,FBpp0070348
O97420,CG14818-PB,FBgn0026088,FBtr0331385,FBpp0303803
Q9W551,CG14817-PA,FBgn0026089,FBtr0070365,FBpp0070349
Q9W551,CG14817-PB,FBgn0026089,FBtr0345510,FBpp0311619
O46084,Pgam5-PA,FBgn0023517,FBtr0070366,FBpp0070350
X2JC94,Pgam5-PB,FBgn0023517,FBtr0339601,FBpp0308673
O46085,Pex5-PA,FBgn0023516,FBtr0070367,FBpp0070351
Q7KW08,Pex5-PB,FBgn0023516,FBtr0070368,FBpp0070352
Q9W554,Gcna-PB,FBgn0023515,FBtr0070369,FBpp0070353
Q7KW09,Gcna-PA,FBgn0023515,FBtr0070370,FBpp0070354
Q7KW09,Gcna-PD,FBgn0023515,FBtr0339494,FBpp0308578
Q9W555,deltaCOP-PA,FBgn0028969,FBtr0070371,FBpp0070355
Q7K7G0,deltaCOP-PB,FBgn0028969,FBtr0301926,FBpp0291138
O96824,Lamtor5-PA,FBgn0026090,FBtr0070372,FBpp0070356
O96824,Lamtor5-PB,FBgn0026090,FBtr0333511,FBpp0305695
Q9W560,CG14811-PB,FBgn0029590,FBtr0309970,FBpp0301697
O77262,CG4025-PA,FBgn0025624,FBtr0070375,FBpp0070359
Q9W525,Unc-76-PB,FBgn0040395,FBtr0070376,FBpp0070360
Q9W525,Unc-76-PA,FBgn0040395,FBtr0070377,FBpp0070361
Q9W525,Unc-76-PC,FBgn0040395,FBtr0333754,FBpp0305896
M9PGS9,Unc-76-PD,FBgn0040395,FBtr0333755,FBpp0305897
FBpp0070362,csw-PA,FBgn0000382,FBtr0070378,FBpp0070362
L7XAI0,csw-PB,FBgn0000382,FBtr0070379,FBpp0070363
FBpp0070364,csw-PC,FBgn0000382,FBtr0070380,FBpp0070364
M9PGI1,csw-PD,FBgn0000382,FBtr0333260,FBpp0305458
Q7K511,D2hgdh-PB,FBgn0023507,FBtr0070381,FBpp0070365
Q7K511,D2hgdh-PC,FBgn0023507,FBtr0070382,FBpp0070366
Q7K511,D2hgdh-PA,FBgn0023507,FBtr0070383,FBpp0070367
M9PIS3,Pgd-PA,FBgn0004654,FBtr0070384,FBpp0070368
M9PIS3,Pgd-PB,FBgn0004654,FBtr0331410,FBpp0303827
O46052,CG3630-PA,FBgn0023540,FBtr0070385,FBpp0070369
M9PDL0,CG3630-PB,FBgn0023540,FBtr0310076,FBpp0301777
O46052,CG3630-PC,FBgn0023540,FBtr0310500,FBpp0302638
O46052,CG3630-PD,FBgn0023540,FBtr0310501,FBpp0302639
