UniprotKB,Gene,FBgn,FBtr,FBpp
Q8MRA3,hbs-PA,FBgn0287864,FBtr0087413,FBpp0086544
A1Z9X4,hbs-PB,FBgn0287864,FBtr0087414,FBpp0086545
A1Z9X4,hbs-PC,FBgn0287864,FBtr0345419,FBpp0311546
CG15792-PB,zip-PB,FBgn0287873,FBtr0072398,FBpp0072305
CG15792-PA,zip-PA,FBgn0287873,FBtr0072399,FBpp0072306
Q59E58,zip-PC,FBgn0287873,FBtr0100466,FBpp0099894
Q59E59,zip-PD,FBgn0287873,FBtr0100467,FBpp0099896
Q59E58,zip-PE,FBgn0287873,FBtr0302572,FBpp0291728
A0A0B4JD57,zip-PF,FBgn0287873,FBtr0302573,FBpp0291729
Q59E58,zip-PG,FBgn0287873,FBtr0302574,FBpp0291730
A0A0B4JD95,zip-PH,FBgn0287873,FBtr0302575,FBpp0291731
A0A0B4K7Q4,zip-PI,FBgn0287873,FBtr0306576,FBpp0297531
Q9VPJ9,CG3164-PB,FBgn0288229,FBtr0078154,FBpp0077813
Q8IPV3,CG3164-PA,FBgn0288229,FBtr0078153,FBpp0077812
Q8IPV3,CG3164-PC,FBgn0288229,FBtr0078155,FBpp0089109
Q9VPJ9,CG3164-PD,FBgn0288229,FBtr0100379,FBpp0099791
Q9V774,Cyp6a21-PA,FBgn0288232,FBtr0087456,FBpp0086586
Q9W060,mv-PB,FBgn0288310,FBtr0304060,FBpp0293022
A1Z9R4,L-PB,FBgn0288433,FBtr0302926,FBpp0292052
A0A0B4JD76,L-PC,FBgn0288433,FBtr0302927,FBpp0292053
Q8ML70,BaraA2-PA,FBgn0288447,FBtr0087654,FBpp0086780
Q8ML70,BaraA2-PC,FBgn0288447,FBtr0339757,FBpp0308804
Q9VWB0,Pex23-PA,FBgn0288469,FBtr0074846,FBpp0074615
Q9VSY2,Cpsf5-PB,FBgn0288470,FBtr0076456,FBpp0076184
Q0E8G6,Cpsf5-PC,FBgn0288470,FBtr0110863,FBpp0110163
Q9VBC5,Yif1-PA,FBgn0288631,FBtr0085037,FBpp0084409
Q8IMR3,Yif1-PB,FBgn0288631,FBtr0085038,FBpp0084410
Q8IMR4,Yif1-PC,FBgn0288631,FBtr0085039,FBpp0084411
P08841,betaTub60D-PA,FBgn0288686,FBtr0072270,FBpp0072177
A0A0B4LGH1,betaTub60D-PB,FBgn0288686,FBtr0343443,FBpp0310087
Q8IRL9,Dna2-PB,FBgn0288690,FBtr0071415,FBpp0071350
Q9W2Z4,Dna2-PC,FBgn0288690,FBtr0112971,FBpp0111884
FBpp0072565,Myo61F-PC,FBgn0010246,FBtr0072672,FBpp0072565
FBpp0072566,Myo61F-PB,FBgn0010246,FBtr0072673,FBpp0072566
AAF47478.3,Myo61F-PD,FBgn0010246,FBtr0072674,FBpp0072567
Q23979,Myo61F-PA,FBgn0010246,FBtr0072675,FBpp0072568
FBpp0072569,ND-ACP-PA,FBgn0011361,FBtr0072676,FBpp0072569
A0A1B2AKC6,ND-ACP-PB,FBgn0011361,FBtr0072677,FBpp0072570
M9PDU4,ND-ACP-PC,FBgn0011361,FBtr0331864,FBpp0304248
Q9W0G4,l(3)02640-PA,FBgn0010786,FBtr0072679,FBpp0072572
Q9W0F9,CG9166-PA,FBgn0029514,FBtr0072680,FBpp0072573
Q9W0F9,CG9166-PB,FBgn0029514,FBtr0310160,FBpp0301845
Q9W0F8,ru-PA,FBgn0003295,FBtr0072681,FBpp0072574
Q8IRH3,CG32320-PD,FBgn0052320,FBtr0339901,FBpp0308933
FBpp0423088,CG9168-PB,FBgn0035216,FBtr0473625,FBpp0423088
Q9W0F6,FucTD-PA,FBgn0035217,FBtr0072693,FBpp0072577
P20350,rho-PA,FBgn0004635,FBtr0072694,FBpp0072578
P20350,rho-PB,FBgn0004635,FBtr0333207,FBpp0305409
Q9W0F0,robl62A-PA,FBgn0028567,FBtr0072695,FBpp0072579
Q9W0F0,robl62A-PB,FBgn0028567,FBtr0332655,FBpp0304901
Q9W0E3,Iml1-PA,FBgn0035227,FBtr0072703,FBpp0072587
Q8IRG9,Iml1-PB,FBgn0035227,FBtr0072704,FBpp0072588
Q8IRG8,Iml1-PC,FBgn0035227,FBtr0072705,FBpp0072589
M9PE64,Iml1-PD,FBgn0035227,FBtr0333401,FBpp0305593
M9PDV3,Iml1-PE,FBgn0035227,FBtr0333402,FBpp0305594
Q95RU0,cue-PA,FBgn0011204,FBtr0072706,FBpp0072590
A4V193,hfp-PC,FBgn0028577,FBtr0072707,FBpp0072591
A4V193,hfp-PD,FBgn0028577,FBtr0072708,FBpp0072592
Q8T6B9,hfp-PA,FBgn0028577,FBtr0072709,FBpp0072593
A4V193,hfp-PB,FBgn0028577,FBtr0072710,FBpp0072594
A4V193,hfp-PE,FBgn0028577,FBtr0300416,FBpp0289645
A4V193,hfp-PF,FBgn0028577,FBtr0300417,FBpp0289646
A4V193,hfp-PG,FBgn0028577,FBtr0300418,FBpp0289647
A4V193,hfp-PH,FBgn0028577,FBtr0300419,FBpp0289648
A4V193,hfp-PI,FBgn0028577,FBtr0300420,FBpp0289649
A4V193,hfp-PJ,FBgn0028577,FBtr0301523,FBpp0290738
Q9W0E8,CG12084-PA,FBgn0043458,FBtr0072711,FBpp0072595
M9PBH9,CG12084-PB,FBgn0043458,FBtr0332656,FBpp0304902
Q9W0E9,stet-PB,FBgn0020248,FBtr0072712,FBpp0072596
Q9W0F1,stet-PA,FBgn0020248,FBtr0072713,FBpp0072597
Q8IRH2,Naa30B-PA,FBgn0052319,FBtr0072714,FBpp0072598
Q9W0F4,SA-2-PC,FBgn0043865,FBtr0301788,FBpp0291002
Q9W0F5,CG9173-PA,FBgn0035218,FBtr0072720,FBpp0072604
