	uniprot	flybase
839	Q9VP48	FBgn0086913
840	Q9VAY2	FBgn0039562
841	Q5LJX8	FBgn0265767
842	Q7PLW1	FBgn0265767
843	Q8SXS9	FBgn0265767
844	A0A6J3SW69	FBgn0036202
845	Q5BIG2	FBgn0036202
846	Q9VZE7	FBgn0035523
847	Q9VVL7	FBgn0036762
848	P48596	FBgn0003162
849	P48596	FBgn0003162
850	A0A0B4KHS5	FBgn0039186
851	Q8IGI0	FBgn0039186
852	Q9VC90	FBgn0039186
853	Q9VGA4	FBgn0038016
854	Q9VH19	FBgn0086359
855	Q9VHF9	FBgn0037676
856	Q9VPX5	FBgn0031310
857	C0PDF4	FBgn0042138
858	M9PEW1	FBgn0042138
859	Q9I7R0	FBgn0042138
860	A4V3J6	FBgn0001215
861	P07909	FBgn0001215
862	P07909	FBgn0001215
863	P07909	FBgn0001215
864	Q9VDT5	FBgn0038738
865	Q27580	FBgn0014455
866	M9PF61	FBgn0086254
867	M9PI17	FBgn0086254
868	Q8IQF8	FBgn0086254
869	Q9VTK9	FBgn0086254
870	Q9VY05	FBgn0030593
871	M9PHV5	FBgn0264000
872	Q9XZ21	FBgn0086129
873	Q9VTP4	FBgn0036213
874	A0A0B4KFH4	FBgn0002787
875	P26270	FBgn0002787
876	O77410	FBgn0025582
877	M9PHS6	FBgn0263219
878	Q0E8G9	FBgn0263219
879	Q24251	FBgn0016120
880	M9NDD2	FBgn0004852
881	Q9VW60	FBgn0004852
882	Q9VL18	FBgn0032198
883	Q9VL18	FBgn0032198
884	Q7JZ25	FBgn0033755
885	Q9W499	FBgn0029785
886	P23128	FBgn0004419
887	Q9VKM8	FBgn0053129
888	A0A0B4K7I2	FBgn0003435
889	A0A0B4K7W3	FBgn0003435
890	M9PHM0	FBgn0031064
891	Q9VWD3	FBgn0031064
892	Q500Y7	FBgn0034245
893	Q9VKH5	FBgn0283678
894	A8JQT5	FBgn0265082
895	Q7KV27	FBgn0030478
896	Q9VYD9	FBgn0030478
897	P00417	FBgn0013676
898	M9MRG2	FBgn0043456
899	Q8T079	FBgn0043456
900	Q9VAJ9	FBgn0039674
901	Q9VVW3	FBgn0036843
902	Q9VAM6	FBgn0062442
903	Q8MRW1	FBgn0267976
904	A0A0B4K7L1	FBgn0003071
905	A0A0B4KFI7	FBgn0003071
906	P52034	FBgn0003071
907	P52034	FBgn0003071
908	P52034	FBgn0003071
909	Q9V9R2	FBgn0032956
910	P16620	FBgn0014007
911	P16620	FBgn0014007
912	P22270	FBgn0004514
913	Q9VPE2	FBgn0037001
914	P91685	FBgn0019985
915	P36951	FBgn0011770
916	Q9V3A8	FBgn0035909
917	Q9VM47	FBgn0031885
918	M9NEH6	FBgn0026428
919	M9NGF7	FBgn0026428
920	M9PJN5	FBgn0026428
921	Q86NK9	FBgn0026428
922	Q8IR37	FBgn0026428
923	Q8IR38	FBgn0026428
924	Q9W3W9	FBgn0029896
925	Q9VAL0	FBgn0040623
926	A0A0B4KEX2	FBgn0034136
927	Q7K4Y6	FBgn0034136
928	B7Z145	FBgn0267001
929	Q9VYN8	FBgn0267001
930	Q7JYH3	FBgn0034576
931	Q9V419	FBgn0028940
932	Q6NLL3	FBgn0035400
933	Q8T014	FBgn0035400
934	Q9VZU9	FBgn0035400
935	A0A0B4KHY8	FBgn0027512
936	Q9XZ32	FBgn0027512
937	Q9I7U2	FBgn0035321
938	A0A0B4K709	FBgn0085384
939	A0A126GV09	FBgn0085384
940	Q9VCG8	FBgn0085384
941	Q9XTL9	FBgn0004507
942	P91634	FBgn0015279
943	P50887	FBgn0015288
944	M9PBG6	FBgn0024806
945	M9PDH5	FBgn0024806
946	Q9W0S9	FBgn0024806
947	Q24114	FBgn0263930
948	Q8T390	FBgn0038659
949	Q9VKX2	FBgn0262782
950	C9QP42	FBgn0001942
951	A0A0B4KFT0	FBgn0019624
952	Q9VIC6	FBgn0083963
953	Q86BI3	FBgn0263603
954	Q32KD4	FBgn0262739
955	Q7KY08	FBgn0262739
956	Q9VMU0	FBgn0031684
957	Q961J5	FBgn0033778
958	Q9VYQ8	FBgn0030366
959	X2JEX7	FBgn0030366
960	Q7K2N3	FBgn0038799
961	A8JV19	FBgn0030796
962	A8JV25	FBgn0030796
963	Q7KUX2	FBgn0030796
964	Q9VXA5	FBgn0030796
965	M9MRK7	FBgn0261671
966	M9MRP6	FBgn0261671
967	M9MRV1	FBgn0261671
968	M9MSI8	FBgn0261671
969	X2JA38	FBgn0261671
970	X2JAP2	FBgn0261671
971	Q9VMI3	FBgn0031771
972	E1JIJ4	FBgn0038063
973	M9PER1	FBgn0035850
974	M9PEY7	FBgn0035850
975	A0A0B4LG52	FBgn0034743
976	A0A0B4KHW3	FBgn0028646
977	Q9VA73	FBgn0028646
978	A1Z8U4	FBgn0010621
979	Q7KKI0	FBgn0010621
980	Q9VR33	FBgn0031635
981	Q9VKY2	FBgn0027568
982	P17971	FBgn0005564
983	A0A0B4LFL6	FBgn0028743
984	Q8T017	FBgn0028743
985	Q24208	FBgn0263740
986	Q7KVX5	FBgn0029687
987	Q9W4N8	FBgn0029687
988	Q9V3P0	FBgn0040309
989	M9MRD0	FBgn0010288
990	M9PE40	FBgn0010288
991	Q9GU68	FBgn0285952
992	Q9VKG1	FBgn0015400
993	Q9VXE0	FBgn0261791
994	B7YZX0	FBgn0032797
995	Q8INW2	FBgn0032797
996	P41044	FBgn0004580
997	P11046	FBgn0261800
998	C0HKA0	FBgn0004403
999	M9PFF0	FBgn0011272
1000	Q9VBN5	FBgn0039359
1001	Q5LJN5	FBgn0267433
1002	P28668	FBgn0005674
1003	Q00748	FBgn0004513
1004	P54359	FBgn0014029
1005	Q9VNB7	FBgn0037326
1006	Q9VJ30	FBgn0015772
1007	Q9VVI0	FBgn0036733
1008	B7Z122	FBgn0029663
1009	Q8IRU1	FBgn0029663
1010	Q9W4S0	FBgn0029663
1011	P53624	FBgn0259170
1012	Q8IRQ5	FBgn0286222
1013	Q9W3X6	FBgn0286222
1014	Q7KUW2	FBgn0052549
1015	Q9VWV2	FBgn0052549
1016	Q9VWV4	FBgn0052549
1017	Q9VWV5	FBgn0052549
1018	Q8T088	FBgn0037943
1019	Q9VN39	FBgn0037261
1020	Q94887	FBgn0013997
1021	M9PC57	FBgn0263776
1022	M9PEU1	FBgn0263776
1023	Q7KUE9	FBgn0263776
1024	Q9VTD6	FBgn0263776
1025	Q9W3C3	FBgn0030060
1026	M9PBQ3	FBgn0261797
1027	E1JJK6	FBgn0003218
1028	E1JJK7	FBgn0003218
1029	E1JJK8	FBgn0003218
1030	A0A0B4K716	FBgn0051140
1031	Q7KS35	FBgn0051140
1032	Q9VCF2	FBgn0051140
1033	P12613	FBgn0003676
1034	B7YZT2	FBgn0039969
1035	B7YZT2	FBgn0039969
1036	B7YZT2	FBgn0039969
1037	B7YZT2	FBgn0039969
1038	Q9VBU9	FBgn0039300
1039	P23654	FBgn0004108
1040	P35415	FBgn0003149
1041	Q9VMZ9	FBgn0037228
1042	P55162	FBgn0011771
1043	P25843	FBgn0000308
1044	B7Z0E0	FBgn0001248
1045	Q7KUB0	FBgn0001248
1046	Q7KUB1	FBgn0001248
1047	Q8IQA7	FBgn0001248
1048	Q9VSI6	FBgn0001248
1049	A0A0B4JCW4	FBgn0037643
1050	A0A126GUR6	FBgn0037643
1051	Q95U38	FBgn0037643
1052	Q9VHJ8	FBgn0037643
1053	A0A0B4K6N4	FBgn0082582
1054	A0A0B4K7R6	FBgn0082582
1055	A0A0B4KHF2	FBgn0082582
1056	A0A0B4KHW6	FBgn0082582
1057	A0A6H2EEH6	FBgn0082582
1058	A8JRH3	FBgn0082582
1059	C7LAH8	FBgn0082582
1060	E1JJ21	FBgn0082582
1061	O46231	FBgn0082582
1062	Q9VA56	FBgn0082582
1063	Q9VA58	FBgn0082582
1064	Q9VA59	FBgn0082582
1065	Q9VN93	FBgn0260462
1066	Q9VN93	FBgn0260462
1067	Q95TK5	FBgn0039854
1068	Q9VKZ7	FBgn0032217
1069	D0Z756	FBgn0033250
1070	Q7K2X5	FBgn0033250
1071	A8JUY8	FBgn0264386
1072	M9NDQ0	FBgn0264386
1073	M9NGR9	FBgn0264386
1074	M9PGH9	FBgn0264386
1075	Q9W433	FBgn0264386
1076	Q8STG9	FBgn0086357
1077	Q0KHR7	FBgn0259923
1078	Q7KUX3	FBgn0259923
1079	Q9W0M4	FBgn0035165
1080	Q9VZ23	FBgn0020255
1081	Q8SYD9	FBgn0034433
1082	A0A0B4KER0	FBgn0033998
1083	Q5U156	FBgn0033998
1084	A0A0B4K6A6	FBgn0013995
1085	A0A0B4K6E2	FBgn0013995
1086	E2QCY9	FBgn0004575
1087	A0A0B4KF54	FBgn0085421
1088	A1Z6P8	FBgn0085421
1089	Q9VN21	FBgn0263594
1090	Q08473	FBgn0263396
1091	Q9VBR3	FBgn0039332
1092	A8JUZ8	FBgn0085446
1093	A8JUZ9	FBgn0085446
1094	M9MS17	FBgn0085446
1095	M9PDW8	FBgn0085446
1096	M9PGT0	FBgn0085446
1097	M9PH82	FBgn0085446
1098	M9PJ82	FBgn0085446
1099	Q9XZ53	FBgn0011336
1100	Q9VJU8	FBgn0028542
1101	A0A0B4LF88	FBgn0020370
1102	A0A0B4LGC0	FBgn0020370
1103	Q9V6K1	FBgn0020370
1104	Q9VJB6	FBgn0262018
1105	A0A0B4LGI1	FBgn0001123
1106	P20354	FBgn0001123
1107	Q9W1G6	FBgn0261794
1108	Q9VEF9	FBgn0262562
1109	A0A0C4DHN4	FBgn0260995
1110	P48159	FBgn0010078
1111	P25161	FBgn0261396
1112	P13217	FBgn0262738
1113	X2JCI4	FBgn0262738
1114	Q9V4C8	FBgn0039904
1115	Q9V4C8	FBgn0039904
1116	Q9VJ63	FBgn0032700
1117	Q7K4Q5	FBgn0033021
1118	M9PF72	FBgn0000257
1119	Q9Y1I2	FBgn0000257
1120	Q6NLA3	FBgn0028671
1121	Q8IML4	FBgn0028671
1122	Q7K1V5	FBgn0037374
1123	Q8IRD3	FBgn0035438
1124	Q8IRD4	FBgn0035438
1125	Q9VZQ8	FBgn0035438
1126	Q6IWN7	FBgn0053513
1127	Q9W581	FBgn0053513
1128	X2JDW0	FBgn0053513
1129	Q7KMJ6	FBgn0027548
1130	P36975	FBgn0011288
1131	Q9VMB9	FBgn0031830
1132	Q9U6R9	FBgn0028552
1133	P49071	FBgn0013987
1134	Q9W334	FBgn0030136
1135	A0A0B4LGT2	FBgn0260005
1136	Q9VHY7	FBgn0260005
1137	A0A0B4KF46	FBgn0023143
1138	Q8T0L3	FBgn0023143
1139	Q0KHU2	FBgn0285926
1140	Q0E930	FBgn0028496
1141	M9NE89	FBgn0002525
1142	Q0E8S7	FBgn0025777
1143	Q9W260	FBgn0025878
1144	Q9VBP6	FBgn0039349
1145	Q9VMD5	FBgn0031815
1146	A0A0B4KH39	FBgn0013759
1147	E1JIS7	FBgn0013759
1148	Q24210	FBgn0013759
1149	Q9VRE0	FBgn0031149
1150	A1Z9M2	FBgn0033906
1151	A0A0B4KH25	FBgn0001197
1152	A0A0B4KGC3	FBgn0259145
1153	Q5BI31	FBgn0025388
1154	A0A023GPK8	FBgn0051774
1155	M9NCR3	FBgn0051774
1156	Q8IN49	FBgn0051195
1157	A0A0B4K6N1	FBgn0039713
1158	Q9XYZ5	FBgn0260962
1159	M9PCE7	FBgn0031897
1160	M9PEZ6	FBgn0031897
1161	Q9V431	FBgn0286781
1162	Q8MRL3	FBgn0031516
1163	Q9W552	FBgn0014411
1164	Q7KUL1	FBgn0041604
1165	Q9VUG1	FBgn0041604
1166	A8JNX5	FBgn0266347
1167	A1Z713	FBgn0033194
1168	Q9V3Y4	FBgn0027786
1169	Q9W257	FBgn0034725
1170	Q9VSA3	FBgn0035811
1171	A1Z8P9	FBgn0013756
1172	Q7KW39	FBgn0023537
1173	Q7KW39	FBgn0023537
1174	O44386	FBgn0286785
1175	O44386	FBgn0286785
1176	Q9U6P7	FBgn0028400
1177	M9ND00	FBgn0023388
1178	M9PBF6	FBgn0023388
1179	M9PDC7	FBgn0023388
1180	Q1WWC9	FBgn0023388
1181	Q8INU2	FBgn0023388
1182	Q9VIF7	FBgn0023388
1183	Q94901	FBgn0011640
1184	Q9V9E3	FBgn0033005
1185	Q9U4L6	FBgn0016041
1186	Q9VN25	FBgn0037249
1187	Q9V3N6	FBgn0028541
1188	Q9VX35	FBgn0030854
1189	X2JFW6	FBgn0030854
1190	Q7K148	FBgn0029134
1191	Q9W1J0	FBgn0034911
1192	Q9VEG9	FBgn0038536
1193	C7LAE4	FBgn0003261
1194	E1JJ68	FBgn0003261
1195	P19109	FBgn0003261
1196	P19109	FBgn0003261
1197	Q00174	FBgn0002526
1198	A0A0B4JCX2	FBgn0262483
1199	A0A0B4JDC9	FBgn0262483
1200	A0A0B4KGQ6	FBgn0262483
1201	A0A126GUV2	FBgn0262483
1202	E1JIL7	FBgn0262483
1203	Q86BS0	FBgn0262483
1204	Q9VF66	FBgn0262483
1205	A0A0B4LHX6	FBgn0000150
1206	P08879	FBgn0000150
1207	M9PCA7	FBgn0036279
1208	M9PI37	FBgn0036279
1209	P23380	FBgn0262736
1210	E1JHQ0	FBgn0031213
1211	A8DY95	FBgn0033538
1212	P12080	FBgn0001250
1213	P12080	FBgn0001250
1214	Q9VBN7	FBgn0039357
1215	Q9VBN7	FBgn0039357
1216	M9MSL3	FBgn0026418
1217	Q9VUC1	FBgn0026418
1218	Q8IPY3	FBgn0001125
1219	Q9VQ61	FBgn0001125
1220	A0A0B4LFU5	FBgn0086784
1221	A0A6M3Q6Z1	FBgn0086784
1222	A0A6M3Q7F3	FBgn0086784
1223	Q8IGJ0	FBgn0086784
1224	Q8IGJ0	FBgn0086784
1225	Q8IGJ0	FBgn0086784
1226	Q9VB25	FBgn0004387
1227	Q9VB25	FBgn0004387
1228	Q9Y109	FBgn0027549
1229	Q9VQQ0	FBgn0016698
1230	Q9W4V8	FBgn0250874
1231	A8JUW5	FBgn0002917
1232	R9PY25	FBgn0002917
1233	P22465	FBgn0000084
1234	Q8MMD0	FBgn0050423
1235	A8JQV3	FBgn0037525
1236	Q9W5E4	FBgn0001341
1237	Q7K084	FBgn0033268
1238	Q23978	FBgn0086347
1239	Q95083	FBgn0016697
1240	P04755	FBgn0000038
1241	A0A0B4LGM0	FBgn0259210
1242	A0AVW1	FBgn0259210
1243	B7YZQ3	FBgn0259210
1244	Q8MLN9	FBgn0259210
1245	Q9VD51	FBgn0266581
1246	B7Z001	FBgn0283427
1247	Q9VQL7	FBgn0283427
1248	P17336	FBgn0000261
1249	Q9VN12	FBgn0037238
1250	Q9VMU4	FBgn0261608
1251	Q9V447	FBgn0266449
1252	Q9VME3	FBgn0031808
1253	Q9VGG5	FBgn0037963
1254	A0A0B4KHL4	FBgn0250823
1255	Q9W5X0	FBgn0031090
1256	Q9VMN9	FBgn0031725
1257	P81900	FBgn0022382
1258	E1NZB4	FBgn0086675
1259	Q9VYI0	FBgn0086675
1260	P21187	FBgn0265297
1261	A1ZBB4	FBgn0050122
1262	A8E6M1	FBgn0050122
1263	E1JGL8	FBgn0050122
1264	Q8SYG2	FBgn0027055
1265	Q07093	FBgn0013972
1266	Q24524	FBgn0003447
1267	Q9V3G7	FBgn0028688
1268	Q9VWN5	FBgn0030973
1269	H9XVP2	FBgn0025726
1270	Q8IM86	FBgn0025726
1271	M9PDM4	FBgn0267350
1272	Q9W4X4	FBgn0267350
1273	Q9VVX5	FBgn0026630
1274	A1Z6H7	FBgn0266580
1275	A1ZAA5	FBgn0001124
1276	Q7K221	FBgn0001124
1277	Q9VXB0	FBgn0030791
1278	A0A0B4K6P4	FBgn0011224
1279	A0A0B4K6W9	FBgn0011224
1280	A0A0B4LHY1	FBgn0011224
1281	A8JRI1	FBgn0011224
1282	Q7KES3	FBgn0011224
1283	Q7KRS7	FBgn0011224
1284	Q8IMF8	FBgn0011224
1285	Q8WR53	FBgn0011224
1286	Q95UI6	FBgn0011224
1287	Q9VMT5	FBgn0031689
1288	Q9VW59	FBgn0036921
1289	A0A0B4KGU3	FBgn0000036
1290	P09478	FBgn0000036
1291	A0A0B4LG05	FBgn0003891
1292	P25823	FBgn0003891
1293	F0JAN1	FBgn0020513
1294	Q9I7S8	FBgn0020513
1295	A8DYJ6	FBgn0086604
1296	A8DYJ7	FBgn0086604
1297	B7YZM1	FBgn0086604
1298	A0A0B4KGN2	FBgn0019960
1299	P91928	FBgn0019960
1300	P07668	FBgn0000303
1301	P07668	FBgn0000303
1302	Q9VZ49	FBgn0030251
1303	M9PAZ4	FBgn0031294
1304	Q59E11	FBgn0031294
1305	Q9VPV8	FBgn0031294
1306	A8JNU6	FBgn0010352
1307	P46222	FBgn0013325
1308	Q9XZJ4	FBgn0263121
1309	P11584	FBgn0004657
1310	X2JE30	FBgn0004657
1311	X2JDU0	FBgn0015756
1312	Q9W3M8	FBgn0260858
1313	P41374	FBgn0261609
1314	A4V2A4	FBgn0262737
1315	Q9VXZ0	FBgn0030605
1316	A0A0B4K6S8	FBgn0013576
1317	Q9VNA2	FBgn0013576
1318	Q7KMQ0	FBgn0028687
1319	M9PBB5	FBgn0283442
1320	Q9VR07	FBgn0011603
1321	E2QD26	FBgn0261285
1322	Q9VVU1	FBgn0036824
1323	A0A0B4LEX6	FBgn0011592
1324	A1Z920	FBgn0011592
1325	A1Z921	FBgn0011592
1326	Q9VWE6	FBgn0031052
1327	A8DY43	FBgn0264339
1328	A1ZBE9	FBgn0034401
1329	Q9W415	FBgn0029857
1330	P04359	FBgn0002626
1331	P04359	FBgn0002626
1332	C0HK92	FBgn0266446
1333	A0A0C4DHF6	FBgn0034072
1334	Q8WR08	FBgn0034072
1335	Q8SX37	FBgn0030670
1336	A0A0S0WGZ0	FBgn0085447
1337	M9PHI5	FBgn0085447
1338	Q8IQ62	FBgn0085447
1339	P62152	FBgn0000253
1340	Q9VRN1	FBgn0035622
1341	Q9VTT3	FBgn0036248
1342	Q9VZX9	FBgn0035371
1343	Q32KD3	FBgn0037541
1344	Q7KSW1	FBgn0037541
1345	E1JJR2	FBgn0086778
1346	Q9VWI9	FBgn0086778
1347	P05990	FBgn0003189
1348	Q8MLV1	FBgn0034657
1349	Q8MLV1	FBgn0034657
1350	Q59E14	FBgn0053543
1351	M9MRH0	FBgn0032256
1352	Q9VKU8	FBgn0032256
1353	A0A0B4LEH1	FBgn0024189
1354	A1Z7J1	FBgn0024189
1355	Q0E9F2	FBgn0024189
1356	Q9VJZ4	FBgn0032511
1357	Q0E8B8	FBgn0262509
1358	P17704	FBgn0005533
1359	Q9VZ20	FBgn0030276
1360	Q3YMU0	FBgn0033663
1361	Q8SY53	FBgn0032015
1362	Q0E8H7	FBgn0035710
1363	Q9VAX8	FBgn0039566
1364	Q7KN74	FBgn0021847
1365	Q27571	FBgn0011676
1366	Q27571	FBgn0011676
1367	Q9VDU9	FBgn0003011
1368	Q0KIF4	FBgn0025936
1369	Q8IMC2	FBgn0025936
1370	Q9V4E5	FBgn0025936
1371	Q8SZM2	FBgn0032538
1372	Q9V4E0	FBgn0039909
1373	Q9W1F5	FBgn0034938
1374	P17210	FBgn0001308
1375	A0A6H2EFX8	FBgn0020653
1376	P91938	FBgn0020653
1377	P91938	FBgn0020653
1378	P91938	FBgn0020653
1379	P91938	FBgn0020653
1380	A1Z8U0	FBgn0033688
1381	Q9W541	FBgn0023512
1382	P49630	FBgn0002579
1383	B7YZF6	FBgn0259221
1384	Q9VC05	FBgn0020626
1385	Q7KSC4	FBgn0038662
1386	Q09332	FBgn0014075
1387	Q9W3X7	FBgn0029888
1388	P08646	FBgn0003205
1389	Q9W5G7	FBgn0040370
1390	Q9VL69	FBgn0025700
1391	Q9VKI8	FBgn0032350
1392	Q9VY87	FBgn0030521
1393	Q9VVH9	FBgn0036732
1394	P55828	FBgn0019936
1395	A0A0B4LGH8	FBgn0034951
1396	Q9W1D9	FBgn0034951
1397	A0A0B4KG81	FBgn0034400
1398	A1ZBE8	FBgn0034400
1399	Q8IPT9	FBgn0037057
1400	Q8IPU0	FBgn0037057
1401	Q9VP68	FBgn0037057
1402	A1ZBJ2	FBgn0034432
1403	Q9VQE0	FBgn0026479
1404	Q9W402	FBgn0029868
1405	Q7K486	FBgn0034315
1406	Q7KGH1	FBgn0041087
1407	Q9W2P2	FBgn0034567
1408	M9PEB5	FBgn0035695
1409	Q9VRW2	FBgn0035695
1410	Q7KVB1	FBgn0035244
1411	Q9W0C5	FBgn0035244
1412	Q9VUY1	FBgn0036566
1413	A4V3W1	FBgn0003371
1414	A4V3W2	FBgn0003371
1415	A0A6H2EG56	FBgn0003721
1416	P06754	FBgn0003721
1417	P06754	FBgn0003721
1418	P06754	FBgn0003721
1419	P06754	FBgn0003721
1420	P06754	FBgn0003721
1421	A0A0S0X7U5	FBgn0030613
1422	A0A1Z1CGX2	FBgn0030613
1423	A0A1Z1CSK9	FBgn0030613
1424	M9PEM6	FBgn0030613
1425	Q9VXY2	FBgn0030613
1426	Q9VYQ9	FBgn0030365
1427	Q9VDF4	FBgn0025865
1428	Q9W3D3	FBgn0025864
1429	A0A0B4KHT5	FBgn0038826
1430	P40946	FBgn0013750
1431	M9PFM5	FBgn0000212
1432	M9PFS6	FBgn0000212
1433	P25439	FBgn0000212
1434	P25439	FBgn0000212
1435	Q9V483	FBgn0025726
1436	X2J9E1	FBgn0025726
1437	Q9VBU8	FBgn0039301
1438	Q9VW66	FBgn0036926
1439	Q9W0Y6	FBgn0060296
1440	Q9VAD4	FBgn0039726
1441	Q9VD55	FBgn0038925
1442	Q8IPB7	FBgn0027611
1443	Q9VKV1	FBgn0027611
1444	P35220	FBgn0010215
1445	A8JNJ6	FBgn0004167
1446	M9PBL6	FBgn0004167
1447	Q7KV69	FBgn0004167
1448	Q7KV70	FBgn0004167
1449	Q9VZQ3	FBgn0004167
1450	Q7KVD1	FBgn0024277
1451	P18824	FBgn0000117
1452	P18824	FBgn0000117
1453	Q9V3Q9	FBgn0260446
1454	A1ZB92	FBgn0028496
1455	D0UGE6	FBgn0039257
1456	Q9VFU7	FBgn0038156
1457	Q9V7Y2	FBgn0010591
1458	Q7K569	FBgn0022160
1459	Q9VLV5	FBgn0261790
1460	A0A0B4KG69	FBgn0026441
1461	Q9VF92	FBgn0026441
1462	E1JHD6	FBgn0000229
1463	Q86B61	FBgn0010329
1464	M9PCI6	FBgn0000547
1465	Q9VQW7	FBgn0000547
1466	Q9W0Z5	FBgn0265182
1467	Q7PLL6	FBgn0287182
1468	A0A0B4KF06	FBgn0027079
1469	Q0E993	FBgn0027079
1470	P23226	FBgn0002645
1471	P23226	FBgn0002645
1472	Q8IMF5	FBgn0002645
1473	A8QI20	FBgn0085692
1474	Q8T3U2	FBgn0033912
1475	Q9VB96	FBgn0051075
1476	P61209	FBgn0010348
1477	P12252	FBgn0000479
1478	P12252	FBgn0000479
1479	Q24439	FBgn0016691
1480	Q9VA37	FBgn0039802
1481	Q9VA37	FBgn0039802
1482	Q95T12	FBgn0261722
1483	Q95T12	FBgn0261722
1484	Q95T12	FBgn0261722
1485	Q9VPR1	FBgn0031263
1486	P37236	FBgn0030897
1487	Q0KHV9	FBgn0266098
1488	X2JAH8	FBgn0266098
1489	Q9VZE4	FBgn0035526
1490	Q7KRW8	FBgn0039600
1491	Q7KRW8	FBgn0039600
1492	A8JR25	FBgn0285925
1493	A0A6F7UQK0	FBgn0020503
1494	E1JHJ9	FBgn0020503
1495	Q9VJE5	FBgn0020503
1496	Q9VJE5	FBgn0020503
1497	Q24020	FBgn0000709
1498	Q7K0W1	FBgn0033918
1499	Q02645	FBgn0263391
1500	Q02645	FBgn0263391
1501	Q9VDH3	FBgn0038839
1502	Q9VUH1	FBgn0259175
1503	Q94524	FBgn0024432
1504	Q9VF45	FBgn0038354
1505	A0A0B4K851	FBgn0262114
1506	A0A0B4KFL0	FBgn0262114
1507	A0A126GUM4	FBgn0262114
1508	Q4Z8K6	FBgn0262114
1509	Q4Z8K6	FBgn0262114
1510	Q4Z8K6	FBgn0262114
1511	F3YDH0	FBgn0001218
1512	A0A0B4LFK0	FBgn0024315
1513	Q9V7S5	FBgn0024315
1514	G4LTX1	FBgn0044419
1515	Q8IQ56	FBgn0044419
1516	A0A0B4KHQ8	FBgn0266579
1517	A0A0B4LHV0	FBgn0266579
1518	A0A0B4LIS6	FBgn0266579
1519	A0A0B4LIT4	FBgn0266579
1520	A0A126GV16	FBgn0266579
1521	Q9VB13	FBgn0266579
1522	Q9VB15	FBgn0266579
1523	Q9VN50	FBgn0037270
1524	Q9VLT3	FBgn0267488
1525	M9PDZ8	FBgn0260970
1526	Q9W3M3	FBgn0260970
1527	Q9W3M3	FBgn0260970
1528	Q9VZL3	FBgn0035471
1529	P23625	FBgn0004435
1530	P23625	FBgn0004435
1531	Q9VIK1	FBgn0032880
1532	A8DYB0	FBgn0033661
1533	Q8T4G5	FBgn0036702
1534	Q9VII5	FBgn0051676
1535	A0A6M3QGB1	FBgn0259163
1536	M9PC19	FBgn0259163
1537	M9PHX5	FBgn0259163
1538	Q8IQC8	FBgn0259163
1539	Q9VT45	FBgn0259163
1540	B5RIM9	FBgn0001128
1541	M9PC43	FBgn0001128
1542	M9PET0	FBgn0001128
1543	P13706	FBgn0001128
1544	M9PEN8	FBgn0028699
1545	P45888	FBgn0011742
1546	P45888	FBgn0011742
1547	A0A0B4KHA2	FBgn0038504
1548	Q9VEK6	FBgn0038504
1549	Q9VCT4	FBgn0017590
1550	P48601	FBgn0015282
1551	Q9Y140	FBgn0027583
1552	M9PE74	FBgn0261710
1553	Q9W2U7	FBgn0261710
1554	A0A0B4LFQ3	FBgn0263395
1555	A0A0B4LFV0	FBgn0263395
1556	A0A0B4LGY8	FBgn0263395
1557	A1ZBH7	FBgn0263395
1558	A1ZBH8	FBgn0263395
1559	Q9V3W7	FBgn0283477
1560	M9PDB2	FBgn0250785
1561	Q2PDR9	FBgn0250785
1562	Q7KT16	FBgn0250785
1563	Q9VIJ4	FBgn0250785
1564	Q9VDK9	FBgn0038809
1565	O18334	FBgn0015797
1566	Q9VUN0	FBgn0036494
1567	Q7K7G0	FBgn0028969
1568	Q9W555	FBgn0028969
1569	Q5U117	FBgn0086712
1570	Q9VVS6	FBgn0036813
1571	A0A0B4K7J2	FBgn0039302
1572	A0A0B4K7J2	FBgn0039302
1573	Q03445	FBgn0004619
1574	M9PHP8	FBgn0261788
1575	A0A0B4LH64	FBgn0041188
1576	Q8SWR8	FBgn0041188
1577	Q8SWR8	FBgn0041188
1578	Q9XZ06	FBgn0027537
1579	Q9W316	FBgn0052698
1580	Q7KT91	FBgn0028916
1581	X2J9U5	FBgn0028916
1582	X2JAF7	FBgn0028916
1583	Q9VVU5	FBgn0027057
1584	Q9GYU8	FBgn0026207
1585	M9MRI2	FBgn0011259
1586	M9PB77	FBgn0011259
1587	M9PCL7	FBgn0011259
1588	M9PFA5	FBgn0011259
1589	Q0E8S4	FBgn0011259
1590	Q24322	FBgn0011259
1591	P54611	FBgn0283535
1592	P54399	FBgn0286818
1593	Q9W1M5	FBgn0260455
1594	Q8IH18	FBgn0052016
1595	Q8IH18	FBgn0052016
1596	Q9VD40	FBgn0038938
1597	Q9VNI6	FBgn0263353
1598	Q9VQF5	FBgn0031452
1599	Q9W3N9	FBgn0029969
1600	A0A6H2EJZ8	FBgn0264308
1601	M9PFU0	FBgn0264308
1602	Q9VG73	FBgn0038046
1603	M9PCI5	FBgn0031995
1604	Q9VLS1	FBgn0031995
1605	A0A0B4LG95	FBgn0021979
1606	A0A0B4LGC6	FBgn0021979
1607	Q7K274	FBgn0021979
1608	Q8MLS7	FBgn0021979
1609	Q9VE75	FBgn0028670
