FBgn0037290	CG1124	Gene Expression
FBgn0037291	CG14662	Gene Expression
FBgn0263455	CR43478	Gene Expression
FBgn0263343	CR43424	Gene Expression
FBgn0037292	plh	Gene Expression
FBgn0267145	CR45585	Gene Expression
FBgn0263626	CR43635	Gene Expression
FBgn0267148	CR45588	Gene Expression
FBgn0010313	corto	Gene Expression
FBgn0262605	CG43131	Gene Expression
FBgn0037293	CG12007	Gene Expression
FBgn0040684	CG12589	Gene Expression
FBgn0037295	dpr16	Gene Expression
FBgn0037294	CG12590	Gene Expression
FBgn0259212	cno	Gene Expression
FBgn0263018	snRNA:U4atac	Gene Expression
FBgn0037296	Prosbeta2R2	Gene Expression
FBgn0037297	CG1116	Gene Expression
FBgn0037298	CG2604	Gene Expression
FBgn0040682	CG14664	Gene Expression
FBgn0037299	Vps37B	Gene Expression
FBgn0040208	Kat60	Gene Expression
FBgn0037301	Mms19	Gene Expression
FBgn0087005	rtp	Gene Expression
FBgn0260462	CG12163	Gene Expression
FBgn0053293	CG33293	Gene Expression
FBgn0264789	CR44019	Gene Expression
FBgn0037304	CG1113	Gene Expression
FBgn0037305	CG12173	Gene Expression
FBgn0264785	Hph	Gene Expression
FBgn0037307	Tim17a2	Gene Expression
FBgn0267443	CR45793	Gene Expression
FBgn0266393	CR45033	Gene Expression
FBgn0013576	mtd	Gene Expression
FBgn0051538	CG31538	Gene Expression
FBgn0037310	Tim17b1	Gene Expression
FBgn0037312	CG11999	Gene Expression
FBgn0037313	CG1161	Gene Expression
FBgn0250746	Prosbeta7	Gene Expression
FBgn0037315	Cerk	Gene Expression
FBgn0264912	CR44103	Gene Expression
FBgn0051542	CG31542	Gene Expression
FBgn0085306	CG34277	Gene Expression
FBgn0003275	RpII18	Gene Expression
FBgn0086695	hd	Gene Expression
FBgn0037317	CG14667	Gene Expression
FBgn0041707	7B2	Gene Expression
FBgn0001311	kkv	Gene Expression
FBgn0037320	CG14668	Gene Expression
FBgn0011965	tRNA:Arg-TCG-4-1	Gene Expression
FBgn0264712	CG1172	Gene Expression
FBgn0037322	Or83a	Gene Expression
FBgn0037323	CG2663	Gene Expression
FBgn0037324	Orco	Gene Expression
FBgn0037326	CG14669	Gene Expression
FBgn0037325	CG12147	Gene Expression
FBgn0037327	PEK	Gene Expression
FBgn0037328	RpL35A	Gene Expression
FBgn0037329	POLDIP2	Gene Expression
FBgn0037330	mRpL44	Gene Expression
FBgn0011715	Snr1	Gene Expression
FBgn0266539	CG45100	Gene Expression
FBgn0025825	HDAC3	Gene Expression
FBgn0037332	Hcs	Gene Expression
FBgn0015402	ksr	Gene Expression
FBgn0051550	CG31550	Gene Expression
FBgn0051547	NKCC	Gene Expression
FBgn0010399	Nmdar1	Gene Expression
FBgn0010051	Itp-r83A	Gene Expression
FBgn0264427	CG43845	Gene Expression
FBgn0037336	CG2519	Gene Expression
FBgn0014342	mia	Gene Expression
FBgn0086768	Pcmt	Gene Expression
FBgn0037338	Snm1	Gene Expression
FBgn0037339	Pi4KIIalpha	Gene Expression
FBgn0263484	snoRNA:Pi4KIIalpha-a	Gene Expression
FBgn0267811	CR46136	Gene Expression
FBgn0037340	CG14671	Gene Expression
FBgn0037341	CG12746	Gene Expression
FBgn0037342	CG2931	Gene Expression
FBgn0041191	Rheb	Gene Expression
FBgn0023023	CRMP	Gene Expression
FBgn0037344	CG2926	Gene Expression
FBgn0037345	rev7	Gene Expression
FBgn0014366	noi	Gene Expression
FBgn0283535	Vha26	Gene Expression
FBgn0250753	kra	Gene Expression
FBgn0082961	snoRNA:Psi28S-3385b	Gene Expression
FBgn0082962	snoRNA:Psi28S-3385a	Gene Expression
FBgn0082978	snoRNA:Psi28S-3091b	Gene Expression
FBgn0082979	snoRNA:Psi28S-3091a	Gene Expression
FBgn0082954	snoRNA:Psi28S-3571	Gene Expression
FBgn0086662	snoRNA:Psi28S-3186	Gene Expression
FBgn0082988	snoRNA:Psi28S-2442b	Gene Expression
FBgn0082989	snoRNA:Psi28S-2442a	Gene Expression
FBgn0037347	CG1427	Gene Expression
FBgn0261004	asl	Gene Expression
FBgn0017550	Rga	Gene Expression
FBgn0263619	ASTR	Gene Expression
FBgn0267810	CR46135	Gene Expression
FBgn0019637	Atu	Gene Expression
FBgn0044823	Spec2	Gene Expression
FBgn0037350	CG2911	Gene Expression
FBgn0037351	RpL13A	Gene Expression
FBgn0260002	snoRNA:Me28S-U2134b	Gene Expression
FBgn0086051	snoRNA:Me28S-U2134a	Gene Expression
FBgn0051551	CG31551	Gene Expression
FBgn0051549	CG31549	Gene Expression
FBgn0037354	CG12171	Gene Expression
FBgn0051546	CG31546	Gene Expression
FBgn0051548	CG31548	Gene Expression
FBgn0037356	CG12170	Gene Expression
FBgn0027951	MTA1-like	Gene Expression
FBgn0262125	Sec23	Gene Expression
FBgn0037358	elm	Gene Expression
FBgn0037359	MED27	Gene Expression
FBgn0037360	CG2182	Gene Expression
FBgn0264902	CR44093	Gene Expression
FBgn0046222	Wdr33	Gene Expression
FBgn0267809	CR46134	Gene Expression
FBgn0010772	Xe7	Gene Expression
FBgn0037363	Atg17	Gene Expression
FBgn0037364	Rab23	Gene Expression
